"","x"
"1",12413
"2",57438
"3",7319
"4",59140
"5",88709
"6",78467
"7",44265
"8",67069
"9",34760
"10",68954
"11",97081
"12",91811
"13",5882
"14",12806
"15",90610
"16",61546
"17",78278
"18",31129
"19",61034
"20",1569
"21",33907
"22",79343
"23",25252
"24",51489
"25",37280
"26",88755
"27",95070
"28",86552
"29",75557
"30",94588
"31",42941
"32",58482
"33",3862
"34",25502
"35",43307
"36",77459
"37",55025
"38",73506
"39",93074
"40",28947
"41",86590
"42",48594
"43",28886
"44",87161
"45",93235
"46",24963
"47",65690
"48",12495
"49",47158
"50",3557
"51",74695
"52",73062
"53",95417
"54",22418
"55",11507
"56",26401
"57",2397
"58",5857
"59",85303
"60",60499
"61",10188
"62",65195
"63",33847
"64",16129
"65",68998
"66",89884
"67",2950
"68",79644
"69",77308
"70",99589
"71",49610
"72",34002
"73",40005
"74",87053
"75",31666
"76",57475
"77",49861
"78",79226
"79",93072
"80",44077
"81",29630
"82",37818
"83",97488
"84",2185
"85",48102
"86",75494
"87",81062
"88",45687
"89",18492
"90",61453
"91",94337
"92",56520
"93",39655
"94",75473
"95",45718
"96",85747
"97",65441
"98",15518
"99",2923
"100",5919
"101",17868
"102",62900
"103",61518
"104",4640
"105",6063
"106",52993
"107",75238
"108",64733
"109",86889
"110",23024
"111",91334
"112",53201
"113",65188
"114",64764
"115",78737
"116",50005
"117",16322
"118",15299
"119",27277
"120",56237
"121",12838
"122",32415
"123",93617
"124",23755
"125",90095
"126",53235
"127",64500
"128",60879
"129",81236
"130",88534
"131",6393
"132",95798
"133",70314
"134",78979
"135",58426
"136",88108
"137",23437
"138",27380
"139",5800
"140",86308
"141",53239
"142",1420
"143",38412
"144",41918
"145",92064
"146",22120
"147",81144
"148",97230
"149",92768
"150",52029
"151",32045
"152",43602
"153",87267
"154",33060
"155",57246
"156",66370
"157",60980
"158",97191
"159",42195
"160",31462
"161",62412
"162",96610
"163",10670
"164",7571
"165",29926
"166",56891
"167",81727
"168",32929
"169",29354
"170",9017
"171",61176
"172",22282
"173",82767
"174",96936
"175",18232
"176",19826
"177",8904
"178",32901
"179",93331
"180",71320
"181",60127
"182",52656
"183",92169
"184",17791
"185",60005
"186",47203
"187",17789
"188",63320
"189",12505
"190",21515
"191",60350
"192",52652
"193",47906
"194",68126
"195",57903
"196",91463
"197",8054
"198",41836
"199",88997
"200",30652
"201",77907
"202",64030
"203",998
"204",69870
"205",95036
"206",28052
"207",15683
"208",51733
"209",13192
"210",81426
"211",40052
"212",6652
"213",43291
"214",23529
"215",96445
"216",78577
"217",29251
"218",87614
"219",37800
"220",98153
"221",40092
"222",69608
"223",95901
"224",37827
"225",94350
"226",22406
"227",66718
"228",57971
"229",79950
"230",89753
"231",78083
"232",9866
"233",6042
"234",22345
"235",38789
"236",42505
"237",34555
"238",25505
"239",54853
"240",44038
"241",79333
"242",81032
"243",36063
"244",3192
"245",67719
"246",45423
"247",94476
"248",55537
"249",62951
"250",57392
"251",44109
"252",75602
"253",4587
"254",95957
"255",38353
"256",56421
"257",69422
"258",73184
"259",9386
"260",22780
"261",9208
"262",98316
"263",79183
"264",24646
"265",76529
"266",66611
"267",63365
"268",78926
"269",35052
"270",70582
"271",95720
"272",45913
"273",99015
"274",17504
"275",39882
"276",95140
"277",71732
"278",23002
"279",15977
"280",53262
"281",67194
"282",28369
"283",72629
"284",40599
"285",86844
"286",29277
"287",63270
"288",38538
"289",82884
"290",8496
"291",73775
"292",43938
"293",69435
"294",24891
"295",35536
"296",15640
"297",30397
"298",93134
"299",5890
"300",4856
"301",9875
"302",41027
"303",22513
"304",19744
"305",1642
"306",74284
"307",84685
"308",47105
"309",52959
"310",43473
"311",22754
"312",99554
"313",98736
"314",23898
"315",51230
"316",82994
"317",13357
"318",94985
"319",62217
"320",57647
"321",74330
"322",5862
"323",88493
"324",33381
"325",68897
"326",89696
"327",7947
"328",37512
"329",56844
"330",83233
"331",90018
"332",11282
"333",42246
"334",94132
"335",98222
"336",16614
"337",77931
"338",9710
"339",3098
"340",14915
"341",4440
"342",60001
"343",52359
"344",88310
"345",52875
"346",21733
"347",39206
"348",16705
"349",53776
"350",45304
"351",17617
"352",95058
"353",2413
"354",58404
"355",66761
"356",511
"357",89299
"358",10588
"359",57568
"360",62696
"361",3716
"362",49508
"363",36364
"364",42499
"365",31217
"366",58686
"367",40666
"368",36618
"369",59683
"370",60315
"371",27460
"372",38073
"373",80659
"374",81932
"375",48684
"376",68869
"377",37495
"378",33917
"379",31516
"380",83140
"381",3223
"382",22630
"383",67147
"384",28789
"385",10655
"386",3838
"387",91610
"388",43186
"389",65681
"390",51526
"391",75067
"392",82974
"393",70079
"394",23277
"395",74990
"396",92386
"397",70316
"398",49641
"399",45235
"400",14009
"401",87820
"402",92677
"403",18322
"404",49678
"405",62548
"406",46509
"407",9678
"408",61890
"409",72652
"410",44978
"411",56015
"412",2499
"413",23053
"414",49036
"415",56050
"416",83056
"417",39625
"418",13966
"419",59158
"420",70646
"421",36795
"422",50673
"423",7380
"424",15089
"425",15048
"426",15724
"427",33642
"428",23364
"429",48934
"430",8202
"431",82514
"432",79393
"433",71093
"434",34610
"435",40184
"436",93885
"437",22407
"438",58071
"439",80715
"440",80999
"441",24269
"442",17225
"443",86763
"444",68610
"445",31401
"446",99257
"447",28153
"448",76096
"449",78485
"450",11759
"451",4575
"452",72183
"453",5455
"454",17042
"455",11789
"456",26191
"457",86755
"458",68283
"459",89871
"460",92587
"461",49229
"462",63609
"463",10372
"464",53285
"465",36594
"466",76518
"467",55349
"468",92400
"469",30174
"470",2800
"471",88177
"472",74733
"473",64136
"474",76497
"475",58317
"476",76110
"477",50566
"478",65113
"479",70375
"480",29232
"481",59840
"482",74018
"483",92452
"484",15570
"485",63695
"486",29156
"487",30657
"488",32497
"489",8324
"490",19443
"491",89577
"492",88569
"493",36179
"494",8988
