"","x"
"1",87220
"2",24773
"3",26961
"4",78736
"5",5806
"6",64972
"7",98411
"8",58868
"9",62952
"10",9671
"11",89956
"12",30147
"13",76523
"14",56027
"15",49097
"16",72479
"17",92648
"18",90118
"19",38660
"20",53750
"21",53087
"22",28377
"23",59320
"24",7592
"25",72985
"26",86181
"27",23400
"28",52007
"29",19273
"30",57754
"31",73886
"32",97476
"33",20673
"34",36899
"35",78712
"36",67302
"37",38513
"38",50370
"39",36491
"40",79360
"41",6233
"42",17393
"43",17825
"44",80579
"45",78484
"46",57757
"47",50255
"48",15614
"49",29276
"50",14773
"51",39972
"52",53504
"53",7950
"54",42543
"55",6873
"56",75434
"57",44223
"58",10097
"59",83047
"60",85441
"61",85377
"62",76976
"63",21823
"64",80705
"65",48964
"66",41973
"67",56056
"68",49674
"69",18189
"70",90014
"71",27624
"72",96352
"73",94148
"74",51037
"75",37452
"76",16037
"77",91926
"78",82806
"79",51655
"80",20095
"81",36562
"82",85993
"83",55253
"84",86817
"85",56622
"86",58539
"87",45833
"88",21544
"89",12780
"90",96120
"91",25147
"92",26003
"93",77163
"94",29781
"95",30759
"96",43351
"97",90443
"98",33536
"99",55255
"100",88768
"101",82214
"102",17117
"103",47597
"104",6708
"105",37260
"106",3816
"107",38730
"108",5110
"109",52573
"110",67125
"111",84486
"112",20737
"113",44609
"114",65738
"115",15634
"116",18077
"117",14056
"118",37950
"119",51725
"120",77264
"121",83381
"122",39749
"123",22946
"124",77903
"125",51857
"126",10852
"127",85021
"128",12458
"129",39358
"130",32733
"131",35995
"132",40551
"133",81585
"134",135
"135",45298
"136",29247
"137",18880
"138",75938
"139",35453
"140",32907
"141",59969
"142",20555
"143",99879
"144",17547
"145",44814
"146",29563
"147",22732
"148",79223
"149",83705
"150",20856
"151",90788
"152",4838
"153",6952
"154",74584
"155",32307
"156",47844
"157",39615
"158",31511
"159",36221
"160",1225
"161",67389
"162",34841
"163",40061
"164",12300
"165",33755
"166",11787
"167",50698
"168",98748
"169",47075
"170",3324
"171",8199
"172",12664
"173",71371
"174",17452
"175",73354
"176",81397
"177",25592
"178",8571
"179",43347
"180",48884
"181",84986
"182",80484
"183",60859
"184",58811
"185",56460
"186",72384
"187",47817
"188",27084
"189",63533
"190",85942
"191",57243
"192",65900
"193",16601
"194",11926
"195",45958
"196",28452
"197",2441
"198",82222
"199",40370
"200",48327
"201",65244
"202",17202
"203",3778
"204",31877
"205",89298
"206",71200
"207",24283
"208",19879
"209",46445
"210",55337
"211",10181
"212",32674
"213",69481
"214",69419
"215",72689
"216",75910
"217",1927
"218",14124
"219",12206
"220",30516
"221",9929
"222",43435
"223",77223
"224",5358
"225",80982
"226",11686
"227",3831
"228",99177
"229",35740
"230",24135
"231",75126
"232",74677
"233",45191
"234",81177
"235",26190
"236",94523
"237",44418
"238",89072
"239",89522
"240",43472
"241",86777
"242",41944
"243",54651
"244",99580
"245",46322
"246",73638
"247",28513
"248",43971
"249",20801
"250",18055
"251",8606
"252",10420
"253",80422
"254",62269
"255",76964
"256",96532
"257",16102
"258",72441
"259",5145
"260",83694
"261",41968
"262",55524
"263",28163
"264",61532
"265",7032
"266",80218
"267",65476
"268",69563
"269",26755
"270",93784
"271",71800
"272",96987
"273",60898
"274",16210
"275",95857
"276",36
"277",87679
"278",74682
"279",39048
"280",8455
"281",67482
"282",81362
"283",52344
"284",97269
"285",5962
"286",45793
"287",41830
"288",86356
"289",79651
"290",97674
"291",15092
"292",71399
"293",2992
"294",53255
"295",24320
"296",83445
"297",71
"298",9141
"299",70252
"300",68986
"301",58591
"302",99732
"303",6285
"304",94334
"305",39917
"306",38277
"307",36326
"308",81383
"309",61694
"310",86289
"311",52789
"312",87557
"313",52205
"314",53610
"315",84219
"316",75494
"317",45313
"318",91428
"319",41205
"320",89906
"321",98695
"322",71065
"323",63604
"324",50304
"325",47692
"326",74549
"327",34175
"328",10971
"329",77148
"330",53228
"331",72710
"332",33861
"333",96614
"334",68445
"335",49184
"336",22458
"337",65989
"338",44351
"339",56233
"340",50086
"341",66070
"342",2696
"343",59217
"344",27986
"345",37583
"346",74532
"347",10401
"348",86223
"349",33279
"350",29889
"351",61082
"352",83216
"353",68513
"354",47132
"355",2101
"356",18066
"357",25671
"358",10752
"359",50850
"360",77493
"361",95189
"362",3873
"363",63133
"364",34465
"365",96831
"366",34821
"367",93727
"368",22871
"369",81548
"370",95051
"371",22655
"372",47219
"373",39278
"374",11218
"375",81791
"376",41428
"377",96210
"378",76809
"379",87019
"380",42050
"381",52864
"382",26846
"383",75838
"384",91847
"385",18272
"386",81447
"387",76952
"388",22963
"389",79544
"390",80919
"391",29989
"392",69890
"393",16035
"394",26652
"395",78973
"396",25190
"397",7078
"398",69834
"399",62524
"400",27454
"401",30461
"402",14564
"403",82146
"404",71699
"405",48432
"406",16303
"407",67493
"408",96140
"409",58173
"410",49714
"411",51361
"412",65842
"413",19201
"414",37453
"415",89432
"416",92256
"417",95077
"418",44639
"419",15681
"420",97397
"421",52715
"422",20574
"423",46899
"424",70317
"425",65527
"426",88489
"427",76692
"428",67788
"429",17407
"430",21064
"431",52243
"432",64935
"433",24724
"434",34424
"435",90760
"436",75535
"437",2677
"438",98302
"439",16954
"440",58327
"441",57007
"442",87485
"443",24279
"444",46431
"445",30582
"446",5976
"447",25820
"448",75618
"449",51415
"450",19249
"451",59629
"452",63601
"453",32522
"454",30443
"455",48769
"456",10686
"457",21000
"458",75970
"459",39725
"460",70454
"461",39620
"462",42726
"463",22874
"464",92953
"465",95978
"466",59434
"467",70587
"468",23844
"469",29635
"470",73923
"471",60809
"472",42203
"473",6221
"474",61216
"475",57676
"476",98681
"477",53840
"478",40380
"479",47125
"480",8802
"481",65639
"482",43770
"483",98421
"484",47379
"485",3597
"486",53873
"487",2099
"488",15442
"489",55086
"490",56820
"491",8586
"492",46098
"493",68736
"494",42886
"495",58527
"496",1793
"497",86807
"498",44152
"499",62128
"500",89616
"501",24220
"502",96588
"503",56976
"504",59355
"505",56592
"506",34571
"507",95887
"508",53141
"509",15662
"510",31535
"511",80583
"512",26223
"513",49648
"514",91655
"515",87712
"516",89022
"517",6844
"518",50733
"519",97090
"520",67520
"521",64866
"522",46108
"523",77474
"524",26168
"525",20592
"526",42220
"527",89407
"528",4490
"529",86490
"530",10694
"531",69265
"532",52059
"533",46987
"534",73528
"535",7848
"536",36685
"537",74552
"538",65088
"539",7927
"540",97063
"541",79812
"542",63750
"543",23728
"544",20066
"545",14204
"546",17198
"547",30299
"548",79615
"549",40216
"550",99820
"551",72930
"552",90343
"553",70905
"554",4763
"555",73243
"556",1281
"557",8362
"558",99736
"559",74687
"560",8814
"561",5509
"562",44879
"563",22864
"564",43737
"565",96624
"566",23673
"567",72258
"568",76095
"569",53832
"570",6586
"571",62453
"572",98474
"573",54886
"574",11881
"575",97737
"576",49728
"577",71207
"578",54830
"579",41574
"580",5085
"581",65049
"582",73836
"583",18730
"584",52936
"585",75701
"586",23637
"587",4755
"588",53549
"589",23210
"590",94857
"591",89574
"592",42348
"593",17231
"594",436
"595",892
"596",3987
"597",74998
"598",57027
"599",22621
"600",20847
"601",53287
"602",42580
"603",6684
"604",29404
"605",52784
"606",10825
"607",18330
"608",42729
"609",53659
"610",98132
"611",69022
"612",64749
"613",51225
"614",9457
"615",71099
"616",13485
"617",34852
"618",3738
"619",4597
"620",94536
"621",88329
"622",4423
"623",71096
"624",92413
"625",21867
"626",84882
"627",98571
"628",33525
"629",41076
"630",2076
"631",24472
"632",25819
"633",23759
"634",15856
"635",87099
"636",47742
"637",70138
"638",90658
"639",6415
"640",66077
"641",58428
"642",80300
"643",30218
"644",57541
"645",91540
"646",80595
"647",90540
"648",96778
"649",53018
"650",28493
"651",88994
"652",78206
"653",83960
"654",88846
"655",62794
"656",5737
"657",21372
"658",7018
"659",24184
"660",39561
"661",18042
"662",30065
"663",69588
"664",26992
"665",47875
"666",94019
"667",73842
"668",15244
"669",95730
"670",98562
"671",79846
"672",44977
"673",87251
"674",49505
"675",49966
"676",36939
"677",81804
"678",81246
"679",29075
"680",37725
"681",61328
"682",67028
"683",70921
"684",22835
"685",73831
"686",95933
"687",24992
"688",3309
"689",42215
"690",33489
"691",78720
"692",43422
"693",51203
"694",85670
"695",89762
"696",81274
"697",71082
"698",76157
"699",51646
"700",95703
"701",78299
"702",93309
"703",15972
"704",19106
"705",86612
"706",87318
"707",28604
"708",38143
"709",88569
"710",63967
"711",15694
"712",50966
"713",82605
"714",85573
"715",56369
"716",43541
"717",35704
"718",92763
"719",3935
"720",37673
"721",6150
"722",94641
"723",39307
"724",27587
"725",48556
"726",86992
"727",36698
"728",34923
"729",23168
"730",98879
"731",74199
"732",4052
"733",82948
"734",13615
"735",96570
"736",81320
"737",23616
"738",44664
"739",52231
"740",91113
"741",86267
"742",29001
"743",36371
"744",49583
"745",1448
"746",89413
"747",45464
"748",43964
"749",78178
"750",88344
"751",39773
"752",34785
"753",23726
"754",70110
"755",93988
"756",90608
"757",7576
"758",41947
"759",66361
"760",87144
"761",87861
"762",21478
"763",71759
"764",8902
"765",96811
"766",36313
"767",75133
"768",53219
"769",61705
"770",70864
"771",65688
"772",99415
"773",29473
"774",5209
"775",58779
"776",99220
"777",97829
"778",46466
"779",48815
"780",51970
"781",89644
"782",21588
"783",50210
"784",77592
"785",66525
"786",91998
"787",7987
"788",17925
"789",85118
"790",67378
"791",5984
"792",66611
"793",53834
"794",9730
"795",15115
"796",58282
"797",4863
"798",36494
"799",57717
"800",54268
"801",44833
"802",37015
"803",49427
"804",9048
"805",51384
"806",32299
"807",70398
"808",36794
"809",28188
"810",33951
"811",19940
"812",4507
"813",94086
"814",77599
"815",3005
"816",14834
"817",22057
"818",72795
"819",9932
"820",87408
"821",4175
"822",32728
"823",79150
"824",98600
"825",44589
"826",14768
"827",11948
"828",34676
"829",75406
"830",20680
"831",41813
"832",69544
"833",43292
"834",15036
"835",85812
"836",96568
"837",94803
"838",99665
"839",19124
"840",55183
"841",27975
"842",53969
"843",79723
"844",63532
"845",40201
"846",95524
"847",14134
"848",37840
"849",54083
"850",52174
"851",85570
"852",14416
"853",36220
"854",61788
"855",80680
"856",19693
"857",38294
"858",13629
"859",90694
"860",80893
"861",21010
"862",31358
"863",4028
"864",9242
"865",84026
"866",6078
"867",78716
"868",93222
"869",42270
"870",30011
"871",21865
"872",15461
"873",57559
"874",41442
"875",62499
"876",77933
"877",71412
"878",23499
"879",35179
"880",58335
"881",45354
"882",73982
"883",82484
"884",45102
"885",39054
"886",92819
"887",38798
"888",28184
"889",47128
"890",48823
"891",1903
"892",77861
"893",82444
"894",95924
"895",80586
"896",22311
"897",75989
"898",12787
"899",85285
"900",32958
"901",9464
"902",96235
"903",89523
"904",6633
"905",93897
"906",46902
"907",61629
"908",50744
"909",83236
"910",24079
"911",77687
"912",73007
"913",28669
"914",62597
"915",29010
"916",17892
"917",89757
"918",45074
"919",91754
"920",12363
"921",42326
"922",85207
"923",76425
"924",72030
"925",54190
"926",77956
"927",17464
"928",26027
"929",5887
"930",37711
"931",61104
"932",97096
"933",10709
"934",17833
"935",56439
"936",84826
"937",71720
"938",85823
"939",36823
"940",76756
"941",13892
"942",7895
"943",51164
"944",26676
"945",72133
"946",59768
"947",59364
"948",58982
"949",12597
"950",38272
"951",37817
"952",99374
"953",42607
"954",14011
"955",68725
"956",39821
"957",23700
"958",44791
"959",37945
"960",92289
"961",87274
"962",5588
"963",26243
"964",29316
"965",19749
"966",59611
"967",45068
"968",73259
"969",70134
"970",44087
"971",91263
"972",71344
"973",50717
"974",4520
"975",15555
"976",66958
"977",91239
"978",73966
"979",4105
"980",12375
"981",3512
"982",32909
"983",17760
