"","x"
"1",76470
"2",32271
"3",13481
"4",35131
"5",96142
"6",69156
"7",60350
"8",60946
"9",21146
"10",63735
"11",24491
"12",55666
"13",21775
"14",8546
"15",57358
"16",63597
"17",82070
"18",84755
"19",77691
"20",34186
"21",91358
"22",31116
"23",43962
"24",64901
"25",42675
"26",2821
"27",13759
"28",56813
"29",99959
"30",54707
"31",86327
"32",38360
"33",14260
"34",59811
"35",76095
"36",52368
"37",10923
"38",3768
"39",56835
"40",46093
"41",73748
"42",16649
"43",11605
"44",52246
"45",12754
"46",95594
"47",26557
"48",49867
"49",16493
"50",1987
"51",28413
"52",19201
"53",52436
"54",71784
"55",60672
"56",61596
"57",98618
"58",25738
"59",96420
"60",52683
"61",12346
"62",58742
"63",18563
"64",59914
"65",95145
"66",13100
"67",82015
"68",54928
"69",3530
"70",54702
"71",25226
"72",7560
"73",79182
"74",554
"75",52285
"76",73658
"77",17224
"78",46731
"79",86008
"80",61876
"81",60670
"82",19394
"83",40816
"84",98942
"85",94604
"86",31058
"87",68464
"88",95712
"89",57656
"90",94043
"91",67785
"92",50015
"93",12379
"94",6532
"95",48634
"96",23009
"97",68055
"98",40145
"99",77739
"100",20164
"101",91162
"102",82505
"103",5089
"104",97242
"105",1068
"106",33894
"107",12907
"108",75223
"109",72517
"110",11094
"111",38366
"112",73829
"113",89632
"114",53124
"115",18471
"116",71388
"117",66272
"118",75996
"119",18221
"120",83332
"121",52314
"122",10734
"123",25881
"124",93541
"125",42714
"126",64673
"127",61197
"128",4405
"129",72911
"130",62678
"131",96301
"132",39877
"133",91453
"134",2522
"135",46616
"136",14418
"137",8667
"138",84609
"139",51316
"140",83673
"141",37993
"142",9179
"143",6453
"144",69945
"145",13449
"146",4172
"147",31040
"148",1075
"149",12749
"150",455
"151",39846
"152",89227
"153",12802
"154",57492
"155",45928
"156",71819
"157",79934
"158",88816
"159",93103
"160",90554
"161",46609
"162",57715
"163",84732
"164",91375
"165",43668
"166",22349
"167",93766
"168",48115
"169",44418
"170",89549
"171",75665
"172",42272
"173",75770
"174",65857
"175",54493
"176",55064
"177",7738
"178",27603
"179",35956
"180",161
"181",17645
"182",5841
"183",97432
"184",62863
"185",90054
"186",69383
"187",47025
"188",34610
"189",84274
"190",28850
"191",42127
"192",96790
"193",38792
"194",79474
"195",98697
"196",30863
"197",10786
"198",12972
"199",17860
"200",69970
"201",16948
"202",91385
"203",93205
"204",44911
"205",87614
"206",98010
"207",79758
"208",15941
"209",21783
"210",39377
"211",19264
"212",37916
"213",27652
"214",51609
"215",50915
"216",7853
"217",70361
"218",34810
"219",30387
"220",51217
"221",41461
"222",2383
"223",55094
"224",73701
"225",65705
"226",33175
"227",75380
"228",11122
"229",93451
"230",87620
"231",56555
"232",12128
"233",6982
"234",30548
"235",78647
"236",36308
"237",60629
"238",92081
"239",26151
"240",42954
"241",38351
"242",9818
"243",28614
"244",8006
"245",35
"246",10234
"247",61277
"248",94970
"249",12127
"250",44870
"251",88867
"252",6084
"253",69287
"254",95296
"255",22720
"256",34721
"257",49805
"258",86598
"259",51014
"260",29427
"261",60001
