site,transect,designated.window,actual.window,plant,ID,year_t,max.ht_t,max.w_t,perp.w_t,max.ht.dead,max.w.dea,perp.w.dead,flowers_t,fruits_t,reproductive_fraction_t,node.galls_t,stem.galls_t,bagworms_t,notes_t,year_t1,new.plant_t1,seedling_t1,newplant.meter,survival_t1,max.ht_t1,max.w_t1,perp.w_t1,flowers_t1,fruits_t1,reproductive_fraction,notes_t1
FPS,1,0,0,1,1-0-1,2013,49,54,27,48,85,68,0,5,1,0,0,0,NaN,2014,0,,,1,60,61,43,0,0,1,behind the starting point of the transect
FPS,1,0,0,2,1-0-2,2013,95,180,123,87,187,165,0,23,1,2,0,0,cobweb leaf tie,2014,0,,,1,96,164,127,0,244,1,
FPS,1,0,,3,1-0-3,2013,11,18,7,14,19,17,0,0,1,0,0,0,NaN,2014,0,,,1,16,23,13,0,0,1,
FPS,1,0,0,4,1-0-4,2013,38,51,21,74,102,91,0,0,1,0,0,0,NaN,2014,0,,,1,41,71,47,0,0,1,
FPS,1,0,,5,1-0-5,2013,63,75,48,65,102,87,0,1,1,4,0,0,NaN,2014,0,,,1,59,90,56,0,22,1,
FPS,1,0,0,6,1-0-6,2013,37,33,19,41,58,43,0,0,1,0,0,0,NaN,2014,0,,,1,36,39,24,0,0,1,
FPS,1,0,,7,1-0-7,2013,55,63,59,78,152,140,0,2,1,0,0,0,NaN,2014,0,,,1,54,87,77,0,1,1,
FPS,1,0,0,8,1-0-8,2013,57,56,36,75,115,117,0,0,1,0,0,0,NaN,2014,0,,,1,47,78,66,0,0,1,
FPS,1,0,,9,1-0-9,2013,83,133,55,83,185,88,0,5,1,2,0,0,"Possibly the same plant as 1-0-10, but we're measuring separately",2014,0,,,1,85,55,60,0,5,1,
FPS,1,0,0,10,1-0-10,2013,62,32,16,74,114,83,0,0,1,0,0,0,NaN,2014,0,,,1,54,46,36,0,7,1,
FPS,1,50,50,1,1-50-1,2013,139,200,93,139,256,205,0,5,1,4,0,0,NaN,2014,0,,,1,127,200,138,71,77,1,
FPS,1,50,50,2,1-50-2,2013,17,38,30,36,46,42,0,0,1,0,0,0,NaN,2014,0,,,1,26,50,47,0,0,1,
FPS,1,50,,3,1-50-3,2013,63,95,56,90,162,148,1,0,1,0,0,0,Other unopened flower buds,2014,0,,,1,82,114,85,217,65,1,
FPS,1,50,55,4,1-50-4,2013,38,44,43,74,127,105,0,0,1,0,0,0,NaN,2014,0,,,1,55,68,64,7,0,1,
FPS,1,100,,1,1-100-1,2013,79,79,73,79,125,119,0,20,1,4,0,0,NaN,2014,0,,,1,87,105,100,149,22,1,8 pent bugs
FPS,1,100,105,2,1-100-2,2013,135,117,114,135,155,144,0,6,1,1,0,0,3 cobweb leaf ties,2014,0,,,1,133,123,110,23,34,1,
FPS,1,100,,3,1-100-3,2013,124,149,141,129,305,232,0,41,1,0,0,0,NaN,2014,0,,,1,123,170,157,17,170,1,
FPS,1,150,145,1,1-150-1,2013,67,130,94,99,195,141,0,19,1,0,0,0,NaN,2014,0,,,1,71,157,113,45,2,1,
FPS,1,150,150,2,1-150-2,2013,184,92,87,99,179,170,7,0,1,0,0,0,Many unopened buds,2014,0,,,1,98,154,109,239,191,1,
FPS,1,150,,3,1-150-3,2013,32,22,16,41,55,50,0,0,1,0,0,0,NaN,2014,0,,,1,40,32,27,0,0,1,
FPS,1,150,,4,1-150-4,2013,107,118,110,88,166,150,0,20,1,2,0,0,New flower buds growing,2014,0,,,1,94,120,112,254,136,0.5,
FPS,1,200,,1,1-200-1,2013,46,69,49,0,0,0,0,4,1,0,0,0,0.5m outside plot,2014,0,,,1,54,74,84,46,4,1,
FPS,1,200,,2,1-200-2,2013,64,103,95,34,126,93,24,13,1,0,0,0,New flower buds growing,2014,0,,,1,75,116,120,439,101,1,3 pent bugs
FPS,1,200,,3,1-200-3,2013,83,102,81,62,100,93,37,14,1,0,0,0,2m outside plot,2014,0,,,1,84,125,119,302,222,0.5,
FPS,1,200,200,4,1-200-4,2013,72,107,102,82,107,106,14,32,1,0,0,0,NaN,2014,0,,,1,82,117,116,307,129,0.5,
FPS,1,300,305,1,1-300-1,2013,151,192,167,164,312,288,1,9,1,1,0,0,New flower buds,2014,0,,,1,149,222,189,424,203,1,1 pent bug
FPS,1,300,305,2,1-300-2,2013,26,25,15,17,13,7,0,0,1,0,0,0,NaN,2014,0,,,1,42,39,31,7,0,1,
FPS,1,300,,3,1-300-3,2013,39,57,50,44,68,48,0,0,1,0,0,0,NaN,2014,0,,,1,59,79,80,21,29,1,
FPS,1,350,350,1,1-350-1,2013,101,112,103,115,200,178,2,4,1,0,0,0,1 cobweb leaf tie,2014,0,,,1,109,149,130,254,95,1,
FPS,1,400,,1,1-400-1,2013,70,114,87,114,172,150,12,0,1,0,0,0,1.5m outside plot; many unopened buds,2014,0,,,1,95,135,134,208,14,1,
FPS,1,400,,2,1-400-2,2013,60,83,70,68,125,125,0,0,1,0,0,0,0.5m outside plot; unopened buds present,2014,0,,,1,79,97,103,344,60,1,
FPS,1,400,,3,1-400-3,2013,67,73,69,87,162,141,0,0,1,0,0,0,2.5m outside plot; unopened buds present,2014,0,,,1,73,125,86,77,15,1,
FPS,1,400,,4,1-400-4,2013,69,93,121,93,172,182,0,1,1,0,0,0,2m outside plot; 1 cobweb leaf tie,2014,0,,,1,81,143,128,263,68,1,
FPS,1,100,110,1s,,2013,,,,,,,,,,,,,,2014,1,1,112.1,,4,7,4.5,0,0,1,
FPS,1,100,100,2s,,2013,,,,,,,,,,,,,,2014,1,1,102.9,,5,4,2.5,0,0,1,
FPS,1,150,165,3s,,2013,,,,,,,,,,,,,,2014,1,1,168.6,,6,5,2.5,0,0,1,
FPS,1,200,210,4s,,2013,,,,,,,,,,,,,,2014,1,1,210.6,,4.5,3,2,0,0,1,
FPS,1,50,85,5s,,2013,,,,,,,,,,,,,,2014,1,1,88.9,,4,4,2,0,0,1,
FPS,2,0,0,1,2-0-1,2013,39,33,32,52,82,82,0,0,1,0,0,0,NaN,2014,0,,,1,45,48,37,0,0,1,
FPS,2,0,0,2,2-0-2,2013,35,32,28,36,34,24,0,0,1,4,0,0,NaN,2014,0,,,1,36,38,25,0,0,1,
FPS,2,0,,3,2-0-3,2013,53,88,58,51,114,78,0,24,1,0,0,0,NaN,2014,0,,,1,41,100,69,0,52,1,
FPS,2,0,0,4,2-0-4,2013,79,45,40,71,103,93,0,0,1,0,0,0,NaN,2014,0,,,1,78,58,45,0,1,1,
