site,transect,GIS_id,demog_id,window,max.ht,max.w,perp.w,max.ht.dead,max.w.dea,perp.w.dead,notes,outwindow
FPS,1,,1-0-1,0,49,54,27,48,85,68,,
FPS,1,,1-0-2,0,95,180,123,87,187,165,,
FPS,1,,1-0-4,0,38,51,21,74,102,91,,
FPS,1,,1-0-6,0,37,33,19,41,58,43,,
FPS,1,,1-0-8,0,57,56,36,75,115,117,,
FPS,1,,1-0-10,0,62,32,16,74,114,83,,
FPS,1,1_1,,5,72,96,87,71,130,135,,
FPS,1,1_2,,5,41,35,29,49,62,53,,
FPS,1,1_3,,,64,78,69,88,156,125,> 1m from transect,5
FPS,1,1_4,,,69,26,42,121,159,147,> 1m from transect,5
FPS,1,1_5,,,43,42,29,66,79,82,> 1m from transect,0
FPS,1,1_6,,,43,36,22,74,85,83,> 1m from transect,0
FPS,1,1_7,,,62,45,42,52,103,83,> 1m from transect,5
FPS,1,1_8,,,34,41,27,39,88,74,> 1m from transect,5
FPS,1,1_9,,,40,29,36,53,83,97,> 1m from transect,5
FPS,1,1_10,,,23,33,21,42,95,90,> 1m from transect,5
FPS,1,1_11,,,69,76,45,66,82,69,> 1m from transect,5
FPS,1,1_12,,,35,33,31,59,77,50,> 1m from transect,15
FPS,1,1_13,,,19,28,19,35,36,42,> 1m from transect,10
FPS,1,1_14,,5,24,43,27,36,63,62,,
FPS,1,1_15,,5,51,39,23,46,82,83,very close to the 1m line - possibly out,
FPS,1,1_16,,10,35,33,17,41,70,72,,
FPS,1,1_17,,10,62,72,34,68,102,101,,
FPS,1,1_18,,10,28,41,37,56,90,88,,
FPS,1,1_19,,,42,36,36,49,86,87,> 1m from transect,10
FPS,1,1_20,,,47,59,60,57,111,98,> 1m from transect,10
FPS,1,1_21,,,49,57,46,57,146,97,> 1m from transect,10
FPS,1,1_22,,,39,36,29,54,83,61,> 1m from transect,10
FPS,1,1_23,,,34,39,32,37,55,62,> 1m from transect,10
FPS,1,1_24,,,24,26,26,38,53,57,"> 1m from transect, very close to the 10m window, 15 m window transition",15
FPS,1,1_25,,,14,15,21,17,24,20,> 1m from transect,15
FPS,1,1_26,,,15,14,15,33,40,32,> 1m from transect,10
FPS,1,1_27,,,24,23,23,27,61,61,> 1m from transect,15
FPS,1,1_28,,,22,14,13,28,34,35,> 1m from transect,10
FPS,1,1_29,,10,34,42,33,57,100,100,,
FPS,1,1_30,,,14,27,19,28,40,29,> 1m from transect,15
FPS,1,1_31,,,46,38,29,39,78,60,> 1m from transect,15
FPS,1,1_32,,,22,23,27,33,43,42,> 1m from transect,15
FPS,1,1_33,,,56,58,34,55,89,78,> 1m from transect,15
FPS,1,1_34,,,83,98,70,87,114,110,> 1m from transect,15
FPS,1,1_35,,15,47,65,61,90,178,149,,
FPS,1,1_36,,15,85,96,59,94,138,127,,
FPS,1,1_38,,15,71,83,65,74,173,111,isn't showing up on map as a point,
FPS,1,1_39,,15,51,59,42,55,81,99,,
FPS,1,1_40,,,15,28,19,29,41,43,> 1m from transect,15
FPS,1,1_41,,,31,59,53,38,86,90,> 1m from transect,15
FPS,1,1_42,,,42,52,35,60,102,89,> 1m from transect,20
FPS,1,1_43,,,57,40,42,39,69,48,> 1m from transect,20
FPS,1,1_44,,,40,33,19,60,74,40,> 1m from transect,20
FPS,1,1_45,,,52,48,24,77,87,84,> 1m from transect,20
FPS,1,1_46,,,29,37,35,43,100,48,> 1m from transect,20
