Year,Transect,Quad,BOER_percent,BOGR_percent,LATR_percent
2001,East,0,0,0,7.5
2001,East,10,1,1,17.5
2001,East,20,0,0,29
2001,East,30,0,0,0
2001,East,40,7.5,0,0
2001,East,50,7.5,0,7.5
2001,East,60,7.5,0,0
2001,East,70,7.5,0,17.5
2001,East,80,7.5,0,0
2001,East,90,2.5,0,7.5
2001,East,100,1,0,7.5
2001,East,110,2.5,0,7.5
2001,East,120,1,1,2.5
2001,East,130,7.5,0,2.5
2001,East,140,17.5,1,0
2001,East,150,7.5,0,0
2001,East,160,41.5,1,29
2001,East,170,41.5,1,2.5
2001,East,180,41.5,0,0
2001,East,190,41.5,1,2.5
2001,East,200,17.5,1,7.5
2001,East,210,7.5,1,7.5
2001,East,220,7.5,1,2.5
2001,East,230,17.5,1,2.5
2001,East,240,29,1,0
2001,East,250,17.5,1,0
2001,East,260,17.5,2.5,0
2001,East,270,2.5,1,2.5
2001,East,280,7.5,1,2.5
2001,East,290,7.5,1,2.5
2001,East,300,29,0,2.5
2001,East,310,29,0,7.5
2001,East,320,41.5,0,0
2001,East,330,62.5,0,7.5
2001,East,340,41.5,0,0
2001,East,350,62.5,0,0
2001,East,360,41.5,0,0
2001,East,370,41.5,1,0
2001,East,380,62.5,0,0
2001,East,390,29,1,0
2001,East,400,17.5,7.5,0
2001,East,410,17.5,29,0
2001,East,420,7.5,29,0
2001,East,430,7.5,41.5,0
2001,East,440,0,7.5,0
2001,East,450,7.5,2.5,0
2001,East,460,7.5,2.5,0
2001,East,470,1,0,0
2001,East,480,1,1,0
2001,East,490,7.5,2.5,0
2001,East,500,17.5,2.5,0
2001,East,510,7.5,2.5,0
2001,East,520,17.5,1,0
2001,East,530,29,1,0
2001,East,540,29,2.5,0
2001,East,550,29,1,0
2001,East,560,29,0,0
2001,East,570,29,0,0
2001,East,580,29,2.5,0
2001,East,590,17.5,1,0
2001,East,600,62.5,0,0
2001,East,610,62.5,1,0
2001,East,620,62.5,1,0
