,x
1,0.1073322
2,0.0791414
3,0.0918143
4,0.0670391
5,0.0947684
6,0.0809116
7,0.0603768
8,0.0763896
9,0.0660156
10,0.0781860
11,0.1043816
12,0.0942070
13,0.0972324
14,0.0984356
15,0.1423285
16,0.0669173
17,0.0793606
18,0.1955196
19,0.1225742
20,0.1231688
21,0.0810030
22,0.0707935
23,0.1052135
24,0.0946871
25,0.1037921
26,0.1121221
27,0.0976118
28,0.0857292
29,0.0758583
30,0.0956419
31,0.1251010
32,0.0816385
33,0.0679824
34,0.0842484
35,0.1332229
36,0.0794301
37,0.0965437
38,0.0921215
39,0.0913364
40,0.0896682
41,0.0811831
42,0.0905782
43,0.1039218
44,0.0657457
45,0.0931693
46,0.0879456
47,0.1009045
48,0.0965003
49,0.0636368
50,0.0745945
51,0.0877875
52,0.1031537
53,0.1880798
54,0.1307175
55,0.1009291
56,0.0932693
57,0.0925430
58,0.0703860
59,0.1329873
60,0.0858091
61,0.1155935
62,0.1156803
63,0.0762783
64,0.0849200
65,0.0608009
66,0.1069579
67,0.0740864
68,0.1389804
69,0.0536869
70,0.1311284
71,0.0922506
72,0.0835450
73,0.1351077
74,0.0642404
75,0.0858235
76,0.0796836
77,0.0953070
78,0.0865455
79,0.0741880
80,0.0826750
81,0.0938129
82,0.0942315
83,0.0860624
84,0.1385128
85,0.0872694
86,0.0746598
87,0.1063210
88,0.0913544
89,0.0972766
90,0.0817596
91,0.1298480
92,0.1301942
93,0.1017696
94,0.0773780
95,0.0788788
96,0.1196172
97,0.0930155
98,0.0667796
99,0.0955089
100,0.0962234
101,0.1179627
102,0.0981237
103,0.1316297
104,0.1154209
105,0.0728423
106,0.1032641
107,0.0919839
108,0.0582333
109,0.0600767
110,0.0779335
111,0.0994372
112,0.0803480
113,0.0931059
114,0.0823660
115,0.1197352
116,0.0981302
117,0.0889074
118,0.0740270
119,0.0785284
120,0.0962706
121,0.0798256
122,0.1314321
123,0.0724104
124,0.0600902
125,0.0506490
126,0.0995025
127,0.0985880
128,0.0605203
129,0.0695326
130,0.1913633
131,0.1024681
132,0.0779912
133,0.0763833
134,0.0833697
135,0.0935341
136,0.1457940
137,0.0848203
138,0.1002971
139,0.0955100
140,0.0810102
141,0.0913510
142,0.0799235
143,0.0371263
144,0.1046860
145,0.1422784
146,0.1408351
147,0.0828687
148,0.0703840
149,0.0826281
150,0.1199056
151,0.0605890
152,0.0865530
153,0.0916504
154,0.1430947
155,0.0704222
156,0.0699674
157,0.0971979
158,0.0445406
159,0.0653614
160,0.1051980
161,0.1226955
162,0.0887209
163,0.1093841
164,0.0840834
165,0.0909815
166,0.0739616
167,0.1264253
168,0.0591331
169,0.0723012
170,0.1012668
171,0.0832776
172,0.0318926
173,0.0883862
174,0.0960293
175,0.0781907
176,0.0973072
177,0.0678283
178,0.0758345
179,0.0825679
180,0.1305805
181,0.0902518
182,0.0806702
183,0.0765495
184,0.0854831
185,0.0609362
186,0.0893691
187,0.1282748
188,0.0857816
189,0.0820640
190,0.1002600
191,0.0850097
192,0.1037197
193,0.1334834
194,0.0869802
195,0.1100675
196,0.0654315
197,0.1002068
198,0.0724122
199,0.0958985
200,0.1138106
201,0.1007092
202,0.0806154
203,0.0860927
204,0.0675135
205,0.1241038
206,0.0425607
207,0.1030642
208,0.1075626
209,0.0725191
210,0.0916204
211,0.0668500
212,0.1159184
213,0.0697055
214,0.0838154
215,0.0793670
216,0.1195025
217,0.1393656
218,0.0653291
219,0.0867877
220,0.0807582
221,0.0737159
222,0.0934373
223,0.0572514
224,0.0870310
225,0.0804485
226,0.0941171
227,0.1167996
228,0.0943455
229,0.1048483
230,0.1004898
231,0.1097892
232,0.0928757
233,0.0832390
234,0.1102101
235,0.0683715
236,0.0911710
237,0.0809574
238,0.1307286
239,0.0561571
240,0.1020330
241,0.1159732
242,0.1204985
243,0.0958165
244,0.1069262
245,0.1546407
246,0.1257515
247,0.0955440
248,0.1051665
249,0.0840115
250,0.0788497
251,0.0651707
252,0.0580460
253,0.0843292
254,0.0684487
255,0.1104373
256,0.1018392
257,0.0850265
258,0.0911039
259,0.0727326
260,0.0538117
261,0.0603440
262,0.0989691
263,0.0620402
264,0.1136531
265,0.1393814
266,0.0966806
267,0.1320914
268,0.1107561
269,0.0931584
270,0.0772530
271,0.0961169
272,0.0690628
273,0.0648334
274,0.0537311
275,0.0684344
276,0.0890115
277,0.0684730
278,0.0951198
279,0.1208508
280,0.0787061
281,0.0830654
282,0.1005440
283,0.1101638
284,0.0566836
285,0.0715143
286,0.0362222
287,0.1033359
288,0.1245870
289,0.0964561
290,0.0854883
291,0.0910815
292,0.0818624
293,0.0684029
294,0.0985535
295,0.0909856
296,0.0942554
297,0.0906819
298,0.0746270
299,0.0858611
300,0.1002426
301,0.0673467
302,0.1041389
303,0.1360929
304,0.0924619
305,0.0955622
306,0.0824030
307,0.0850590
308,0.0966682
309,0.1099415
310,0.1120941
311,0.0871468
312,0.0615055
313,0.0882489
314,0.1237266
315,0.0704837
316,0.0825779
317,0.0831435
318,0.0743121
319,0.1511771
320,0.0995357
321,0.1043320
322,0.1252593
323,0.0695292
324,0.1116545
325,0.0811367
326,0.0868429
327,0.0940035
328,0.0655682
329,0.1384085
330,0.0943372
331,0.0576283
332,0.0489846
333,0.0561760
334,0.0998754
335,0.0803669
336,0.1003968
337,0.0847087
338,0.0627992
339,0.0950129
340,0.1153396
341,0.0814889
342,0.1250209
343,0.0648933
344,0.0648213
345,0.1454846
346,0.0687456
347,0.1287142
348,0.0940481
349,0.0901467
350,0.1216182
351,0.1240709
352,0.0807704
353,0.0745621
354,0.0929541
355,0.0700914
356,0.0891733
357,0.0693680
358,0.0939493
359,0.1328175
360,0.0887951
361,0.0682356
362,0.0944305
363,0.1310118
364,0.0966381
365,0.0858772
366,0.0684368
367,0.0756107
368,0.1051398
369,0.0746045
370,0.0981606
371,0.0899620
372,0.0987508
373,0.0883831
374,0.0943371
375,0.1229239
376,0.0952364
377,0.0545085
378,0.0882492
379,0.1230154
380,0.1079755
381,0.1216734
382,0.0711391
383,0.1011662
384,0.1096224
385,0.1377651
386,0.0844001
387,0.0885260
388,0.1186973
389,0.0468560
390,0.0658682
391,0.1812220
392,0.0949410
393,0.0960420
394,0.0884710
395,0.0852286
396,0.0757827
397,0.0847567
398,0.0826405
399,0.1190128
400,0.0884725
401,0.1050205
402,0.0702218
403,0.0771835
404,0.1013437
405,0.0820835
406,0.1015579
407,0.1144267
408,0.1158357
409,0.0890083
410,0.1024054
411,0.0658521
412,0.0605081
413,0.0372188
414,0.1890878
415,0.0704371
416,0.0752757
417,0.1924078
418,0.1173712
419,0.0859532
420,0.1637209
421,0.1376444
422,0.0810191
423,0.0677159
424,0.0897741
425,0.0757094
426,0.0727547
427,0.0864117
428,0.1318194
429,0.1047104
430,0.1218939
431,0.1033233
432,0.1047169
433,0.0718896
434,0.0878522
435,0.0862885
436,0.1107211
437,0.0666419
438,0.0639642
439,0.0949009
440,0.0622530
441,0.0594225
442,0.0961498
443,0.0821471
444,0.0825178
445,0.0894669
446,0.0746360
447,0.0823433
448,0.0996247
449,0.0738065
450,0.1063414
451,0.1065033
452,0.1012817
453,0.0724859
454,0.1100690
455,0.0940148
456,0.1223062
457,0.0996532
458,0.1243541
459,0.1189816
460,0.0721506
461,0.1178001
462,0.1182379
463,0.0812679
464,0.1182005
465,0.0880464
466,0.0999216
467,0.0791214
468,0.1110811
469,0.0764678
470,0.1131794
471,0.0886089
472,0.0983459
473,0.0761404
474,0.0934014
475,0.0766003
476,0.1357704
477,0.0832904
478,0.0834503
479,0.0834094
480,0.1040599
481,0.1039265
482,0.0893377
483,0.0756303
484,0.1737396
485,0.1126813
486,0.0747504
487,0.0820714
488,0.0734830
489,0.0516455
490,0.1152788
491,0.0930754
492,0.0775656
493,0.0857184
494,0.0942502
495,0.0915465
496,0.0727170
497,0.0984036
498,0.0766583
499,0.1043576
500,0.0824501
